StudentID,First,Last,Parent1Phone,Parent2Phone,ParentEmail
5162046,Johnetta,Abdallah,919-225-9345,919-715-3791,johnetta_abdallah@aol.com
8118237,Louvenia,Abney,306-256-9309,306-636-7201,louvenia_abney@hotmail.com
4273214,Tuyet,Abramovitz,905-790-7938,905-876-7283,tuyet.abramovitz@abramovitz.com
3334583,Geoffrey,Acey,847-222-1734,847-556-2909,geoffrey@gmail.com
7437473,Weldon,Acuff,847-353-2156,847-613-5866,wacuff@gmail.com
3046157,Olga,Adessa,905-775-6413,905-340-9290,oadessa@cox.net
5053664,Barbra,Adkin,718-201-3751,718-732-9475,badkin@hotmail.com
3762235,Fausto,Agramonte,212-313-1783,212-778-3063,fausto_agramonte@yahoo.com
562453,Delmy,Ahle,401-458-2547,401-559-8961,delmy.ahle@hotmail.com
2544130,Renato,Airhart,403-444-2250,403-232-4114,renato_airhart@hotmail.com
2770767,Dorothy,Aitken,905-554-3838,905-355-9556,dorothy.aitken@cox.net
3413346,Azalee,Aja,450-515-9694,450-933-2068,azalee.aja@cox.net
1042184,Kaycee,Alaibilla,604-992-6045,604-609-6898,kaycee.alaibilla@yahoo.com
6371735,Cammy,Albares,956-537-6195,956-841-7216,calbares@gmail.com
2260826,Denny,Amazan,604-239-4105,604-864-8071,denny@amazan.com
3473574,Oliva,Ambert,506-672-7328,506-593-5041,oambert@gmail.com
5618461,Frank,Amend,519-823-9369,519-225-9969,frank@yahoo.com
13765,Minna,Amigon,215-874-1229,215-422-8694,minna_amigon@yahoo.com
4514211,Jutta,Amyot,337-515-1438,337-991-8070,jamyot@hotmail.com
5157202,Nydia,Ancar,780-924-8022,780-910-8459,nydia.ancar@ancar.com
3110728,Tasia,Andreason,201-920-9002,201-969-7063,tasia_andreason@yahoo.com
2027823,Ahmed,Angalich,717-528-8996,717-632-5831,ahmed.angalich@angalich.com
6142715,Thaddeus,Ankeny,916-920-3571,916-459-2433,tankeny@ankeny.org
2114223,Melynda,Anstead,450-470-3593,450-261-4907,melynda@hotmail.com
8372565,Von,Aprigliano,604-986-3233,604-853-6594,von@aol.com
5454462,Judy,Aquas,269-756-7222,269-431-9464,jaquas@aquas.com
2726767,Paulina,Arand,204-636-8766,204-682-9423,paulina_arand@cox.net
2726241,Darci,Arau,819-294-4679,819-777-6760,darci@cox.net
6531186,Tegan,Arceo,732-730-2692,732-705-6719,tegan.arceo@arceo.org
4547516,Rhea,Aredondo,718-560-9537,718-280-4183,rhea_aredondo@cox.net
2625514,Aleisha,Areizaga,418-408-1640,418-915-1088,aareizaga@hotmail.com
6333332,Alyce,Arias,209-317-1801,209-242-7022,alyce@arias.org
3702422,Matthew,Armacost,705-417-7221,705-937-7391,matthew_armacost@gmail.com
248231,Lindsey,Arnoldi,250-387-4636,250-720-2097,larnoldi@arnoldi.com
4262628,Shawnna,Arredondo,613-996-1062,613-366-7946,sarredondo@arredondo.com
3214464,Loren,Asar,570-648-3035,570-569-2356,loren.asar@aol.com
6625118,Lynelle,Auber,973-860-8610,973-605-6492,lynelle_auber@gmail.com
