First,Last,StudentID,Grade,ScanTime,Status
Ma,Layous,1633611,11,1/24/2022 7:01,Present on time
Pamella,Fortino,2171800,9,1/24/2022 7:02,Present on time
Ozell,Shealy,1076186,9,1/24/2022 7:06,Present on time
Kattie,Vonasek,4547426,9,1/24/2022 7:06,Present on time
Audra,Kohnert,2711225,9,1/24/2022 7:08,Present on time
Jennie,Drymon,5117334,11,1/24/2022 7:09,Present on time
Rosalyn,Mcspedon,5638827,10,1/24/2022 7:09,Present on time
Renay,Oviedo,1166778,9,1/24/2022 7:11,Present on time
Precious,Dubray,7613656,11,1/24/2022 7:12,Present on time
Lenna,Paprocki,8333415,11,1/24/2022 7:12,Present on time
Dierdre,Yum,6062256,12,1/24/2022 7:17,Present on time
Herman,Demesa,624425,9,1/24/2022 7:18,Present on time
Milly,Pattengale,1143355,10,1/24/2022 7:18,Present on time
Yan,Bubrig,4142502,12,1/24/2022 7:19,Present on time
Lottie,Hegdahl,1120768,12,1/24/2022 7:19,Present on time
Nguyet,Kitchens,1132735,11,1/24/2022 7:19,Present on time
Gertude,Witten,1586555,9,1/24/2022 7:19,Present on time
Viola,Eddens,5445,10,1/24/2022 7:20,Present on time
Jaime,Perugini,5204335,9,1/24/2022 7:20,Present on time
Lea,Steinhaus,6325162,11,1/24/2022 7:21,Present on time
Kelvin,Hasha,8645862,9,1/24/2022 7:22,Present on time
Junita,Stoltzman,5441037,12,1/24/2022 7:22,Present on time
Malcom,Vereen,5817185,11,1/24/2022 7:22,Present on time
Margurite,Brake,6867273,11,1/24/2022 7:23,Present on time
Ivette,Dills,871547,10,1/24/2022 7:23,Present on time
Lavina,Michelet,32524,9,1/24/2022 7:23,Present on time
Ashton,Nitchals,5541156,11,1/24/2022 7:23,Present on time
Arminda,Parvis,338863,11,1/24/2022 7:23,Present on time
Chun,Richrdson,7177353,9,1/24/2022 7:23,Present on time
Jarod,Catalina,5622347,9,1/24/2022 7:24,Present on time
Corinne,Loder,1667724,10,1/24/2022 7:24,Present on time
Hannah,Suero,2456316,11,1/24/2022 7:24,Present on time
Lasandra,Frisinger,6160373,11,1/24/2022 7:25,Present on time
Junita,Brideau,2460415,9,1/24/2022 7:27,Present on time
Rodolfo,Butzen,1875437,9,1/24/2022 7:27,Present on time
Mirta,Mallett,6240644,9,1/24/2022 7:27,Present on time
Renea,Monterrubio,1422154,9,1/24/2022 7:27,Present on time
Ciara,Ventura,5656312,11,1/24/2022 7:27,Present on time
Audry,Yaw,2363218,12,1/24/2022 7:27,Present on time
Tawna,Buvens,1262527,9,1/24/2022 7:28,Present on time
Claudio,Hummell,6655523,11,1/24/2022 7:28,Present on time
Daniel,Perruzza,5335457,11,1/24/2022 7:28,Present on time
Geoffrey,Acey,3334583,10,1/24/2022 7:30,Present on time
Edmond,Buettner,6215623,10,1/24/2022 7:30,Present on time
Joanna,Leinenbach,6687560,9,1/24/2022 7:30,Present on time
Lorean,Sammon,5426443,9,1/24/2022 7:30,Present on time
Theola,Frey,7568732,10,1/24/2022 7:31,Present on time
Buddy,Cloney,5570734,9,1/24/2022 7:32,Present on time
Alline,Jeanty,4355326,11,1/24/2022 7:32,Present on time
Stephane,Myricks,78616,9,1/24/2022 7:32,Present on time
Rory,Papasergi,5245681,9,1/24/2022 7:32,Present on time
Lourdes,Bauswell,6631621,11,1/24/2022 7:33,Present on time
Jeanice,Claucherty,8711638,9,1/24/2022 7:33,Present on time
Izetta,Dewar,4852633,10,1/24/2022 7:33,Present on time
Stephanie,Garlett,4575613,10,1/24/2022 7:33,Present on time
Emmett,Mcshaw,3418728,9,1/24/2022 7:33,Present on time
Sabra,Uyetake,167338,9,1/24/2022 7:33,Present on time
